id,name,district,total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
15,w_28th_rio_grande,9,7,3299.714285714286,0,2,651,811,2.0,5,10157,3.0,9,366.8298097937742,1,5,616.238188022675,1,30.29333,-97.74412
10,w_22_5_rio_grande,9,5,2588.4,0,1,779,1298,2.0,19,0,3.0,9,207.00258326231105,4,10,306.7845109408341,1,30.2862,-97.74516
8,e_21st_speedway_pcl,9,17,2579.470588235294,0,1,31,0,2.0,5,0,3.0,7,236.4573438954131,1,9,435.77008319537003,1,30.283,-97.7375
14,w_26th_nueces,9,13,2532.3076923076924,0,5,489,1053,2.0,10,0,3.0,13,301.565429970349,2,9,432.49135222831,1,30.29068,-97.74292
12,w_23rd_san_gabriel,9,11,2505.454545454545,0,1,622,508,2.0,11,0,3.0,4,297.1256379087687,2,7,439.21682904321807,1,30.2874,-97.7478
7,w_21st_guadalupe,9,11,1966.0,0,5,1643,654,2.0,15,0,3.0,22,221.94446715557746,3,11,319.13397253490274,1,30.28395,-97.74198
43,dean_keeton_speedway,9,23,1449.6521739130435,0,9,7,0,2.0,1,0,3.0,2,386.73506881797624,2,10,486.3339176884756,1,30.28953,-97.73695
9,w_21st_university,9,19,1332.3157894736842,0,3,510,0,2.0,5,0,3.0,8,236.4573438954131,3,10,295.41824749993515,1,30.28354,-97.73953
55,guadalupe_west_mall_university_co_op,9,15,1244.9333333333334,0,5,707,790,2.0,12,0,3.0,20,221.94446715557746,3,11,325.05773002458994,1,30.285664,-97.741792
44,dean_keeton_whitis,9,19,1218.5263157894738,0,5,552,0,2.0,3,0,3.0,16,301.565429970349,2,12,414.4160091903409,1,30.2898,-97.74041
11,w_22nd_pearl,9,23,1062.1304347826087,0,2,755,864,2.0,9,0,3.0,5,207.00258326231105,2,8,350.8318849177437,1,30.2853,-97.7467
63,rainey_cummings,9,19,800.2631578947369,0,0,670,0,2.0,5,43399,3.0,6,665.6613857557119,0,4,727.7100555018665,0,30.255906,-97.739949
20,w_3rd_west,9,11,671.0,0,3,2798,0,1.0,10,21392,3.0,27,281.36504414212527,4,11,309.8715044210384,0,30.2678,-97.75189
18,w_3rd_nueces,9,11,613.0909090909091,0,4,4952,1500,1.0,11,15644,3.0,43,308.56837695120703,3,15,389.8976394035914,0,30.26697,-97.74929
66,riverside_south_lamar,9,19,582.3684210526316,0,1,2471,0,1.0,10,85113,3.0,8,392.6092320428036,1,6,556.9948858771601,0,30.26446,-97.75665
51,e_6th_medina,3,11,572.1818181818181,0,3,3289,0,2.0,6,0,4.0,31,561.0473606046482,0,10,635.2796742734159,0,30.26455,-97.73165
60,nash_hernandez_east_rbj_south,3,11,569.3636363636364,0,2,19,338,3.0,1,76267,4.0,0,779.7067377505235,0,1,1156.9805161866789,0,30.252,-97.7346
62,plaza_saltillo,3,15,502.8,0,2,1722,1641,2.0,6,0,3.0,39,346.07572464955473,1,7,471.5276202639113,0,30.26217,-97.72743
58,lakeshore_lady_bird_ln,3,11,474.3636363636364,0,0,28,0,2.0,1,1685,3.0,1,718.810199091429,0,1,1281.677871750076,0,30.24478312140979,-97.72319224423872
92,w_7th_congress_w_6th_congress,9,17,466.4117647058824,1,4,23222,0,1.0,3,0,3.0,68,231.5559494112329,5,16,258.2891807016064,0,30.26822,-97.74285
13,e_23rd_san_jacinto_dkr_stadium,9,23,459.0,0,8,394,0,2.0,4,0,3.0,7,481.04639705152374,1,8,553.9899156949858,1,30.2856,-97.7335
59,lakeshore_pleasant_valley,3,15,448.4,0,2,0,0,2.0,6,52991,3.0,0,718.810199091429,0,1,1438.5335406432184,0,30.24258,-97.71726
64,rainey_driskill,9,11,444.45454545454544,0,2,552,0,2.0,8,9821,2.0,17,654.8650989533487,0,7,686.7410104404804,0,30.260814,-97.738086
24,w_5th_bowie,9,15,436.73333333333335,0,4,7211,2318,1.0,6,8251,3.0,23,281.36504414212527,4,8,320.4113242330526,0,30.2696,-97.75332
16,e_2nd_congress,9,15,426.6666666666667,0,1,8640,0,1.0,8,6621,3.0,47,196.47681851070504,3,14,286.32416299926655,0,30.26408,-97.74355
54,electric_drive_pfluger_ped_bridge,9,19,409.3157894736842,0,3,639,2318,1.0,5,18477,3.0,11,339.68109216978297,3,9,366.44591312976763,0,30.267064,-97.75482
29,w_16th_san_antonio,9,11,380.45454545454544,0,4,4249,0,1.0,5,0,2.0,6,636.9673546761669,0,8,734.9900747112084,0,30.27924,-97.74371
57,lake_austin_blvd_deep_eddy,10,11,368.8181818181818,0,4,981,0,1.0,1,0,3.0,7,560.2187833761261,0,2,1058.7244037776766,0,30.27807,-97.77272
71,south_congress_barton_springs,9,11,363.8181818181818,0,0,3689,428,1.0,0,0,3.0,12,353.6320944883045,3,10,425.0948094424172,0,30.25839,-97.74592
21,w_4th_congress,9,15,360.3333333333333,0,2,17250,687,1.0,8,0,3.0,80,263.50111186740475,6,16,307.4392344342934,0,30.26634,-97.74378
52,e_6th_pedernales,3,11,345.1818181818182,0,1,1187,0,2.0,1,0,2.0,7,501.6956129570456,0,3,690.0853520480741,0,30.25895,-97.71475
41,cesar_chavez_congress,9,11,335.90909090909093,0,3,6387,0,1.0,7,6908,3.0,34,196.47681851070504,3,14,292.26894755437365,0,30.26332,-97.74508
37,barton_springs_bouldin_palmer_auditorium,9,15,335.8,0,4,3647,993,1.0,2,112716,3.0,5,415.5224887997132,1,8,563.3273780796779,0,30.25966,-97.753445
36,barton_springs_pool,8,11,328.45454545454544,0,0,34,0,1.0,2,235271,2.0,3,376.4060984434152,3,3,406.61514313375545,0,30.26452,-97.7712
17,w_2nd_lavaca_city_hall,9,19,322.94736842105266,0,5,8077,565,1.0,10,0,3.0,65,265.0626791220151,4,17,342.10048360700074,0,30.26476,-97.74678
87,dean_keeton_robert_dedman_dr,1,11,316.0,0,5,249,0,1.0,3,0,3.0,5,534.7140377834024,0,3,706.3753919582377,1,30.28785,-97.728541
35,w_9th_henderson,9,11,310.45454545454544,0,4,5865,0,1.0,2,11611,2.0,20,317.8537102407249,2,7,409.83057396733574,0,30.27217,-97.75246
23,e_5th_neches_downtown_station,9,15,294.6,0,3,2886,925,1.0,5,0,3.0,64,401.9697882377014,2,16,459.48722561268397,0,30.265843991099903,-97.73891781267967
68,s_1st_riverside_long_center,9,15,289.6666666666667,0,7,1078,0,1.0,3,69592,3.0,6,238.04267638765984,3,9,365.39687377072323,0,30.259384,-97.749726
42,dean_keeton_park_place,9,15,288.8666666666667,0,6,23359,0,2.0,5,0,3.0,0,436.51553466418187,2,5,484.09198983303605,1,30.28931,-97.733037
2,w_11th_congress_the_texas_capitol,9,11,283.09090909090907,0,0,3006,0,1.0,2,0,3.0,8,315.934534461486,4,13,351.5017273851888,0,30.2726,-97.74127
75,veterans_atlanta_mopac_ped_bridge,9,19,280.7894736842105,0,0,0,0,1.0,12,44537,3.0,0,560.2187833761261,0,2,749.0238235321403,0,30.274475,-97.769892
56,hollow_creek_barton_hills,5,11,277.0,0,0,26,0,1.0,7,73807,2.0,0,379.7365528901598,2,3,514.3504638243743,0,30.26139,-97.77234
74,south_congress_mary,9,11,271.72727272727275,0,2,953,0,1.0,7,0,3.0,18,522.9383826471034,0,3,774.9939793879959,0,30.244961,-97.751272
76,zilker_park,8,15,262.6,0,2,51,0,1.0,0,237174,3.0,1,376.4060984434152,1,4,547.1647434803294,0,30.2659,-97.76822
28,w_6th_lavaca,9,7,259.42857142857144,0,10,12229,0,1.0,7,0,2.0,33,238.24355169932875,4,18,294.8213500463698,0,30.268887,-97.745242
31,w_8th_congress,9,11,254.9090909090909,0,4,25867,0,1.0,4,0,3.0,41,231.5559494112329,7,17,299.98762408684337,0,30.2698,-97.74186
38,barton_springs_kinney,9,11,252.1818181818182,0,3,819,0,1.0,8,697,3.0,15,595.6669140130803,0,5,792.02087501587,0,30.262,-97.76118
25,w_5th_campbell,9,15,251.7333333333333,0,4,1707,0,1.0,16,0,3.0,14,566.032619104577,0,2,917.9796165395459,0,30.27489,-97.76483
49,e_5th_broadway,3,15,239.53333333333333,0,2,691,1122,2.0,3,0,3.0,4,622.9390201769427,0,2,963.4989483470777,0,30.2563,-97.71007
45,e_11th_san_marcos,1,11,239.1818181818182,0,3,511,0,2.0,8,0,2.0,7,271.30122226316774,1,9,496.818876426484,0,30.26968,-97.73074
73,south_congress_james,9,7,222.28571428571428,0,2,1157,0,1.0,4,0,3.0,19,177.620300131633,2,5,336.5406238702589,0,30.25103,-97.74926
39,barton_springs_azie_morton,9,15,221.86666666666667,1,0,40,0,1.0,6,116251,2.0,1,379.7365528901598,2,4,441.64972575420694,0,30.261881964956064,-97.76897665654796
69,south_congress_bouldin_creek,9,15,220.8,0,4,1790,0,1.0,2,0,3.0,10,363.7597474841671,3,8,408.5947606379009,0,30.25495,-97.74755
26,e_6th_chalmers,3,11,219.1818181818182,0,6,1778,0,3.0,4,0,2.0,46,346.07572464955473,3,7,373.88629076082424,0,30.26269,-97.72438
32,e_8th_lavaca,9,7,215.57142857142856,0,10,10963,0,1.0,2,0,2.0,9,238.24355169932875,4,19,297.068020429215,0,30.27059,-97.74441
70,south_congress_academy,9,11,189.72727272727272,0,2,2124,0,1.0,6,0,3.0,13,177.620300131633,3,7,336.8451934446042,0,30.25226,-97.74854
33,e_8th_red_river,9,11,186.9090909090909,0,3,4001,309,1.0,5,0,2.0,34,231.82333484280636,4,16,309.1982470006659,0,30.26854,-97.73646
72,south_congress_elizabeth,9,11,178.63636363636363,0,2,1294,0,1.0,0,0,3.0,20,292.15484596308687,2,4,428.0829204427343,0,30.24891,-97.75019
53,e_6th_chicon,3,11,171.63636363636363,0,3,692,0,2.0,8,0,2.0,5,62.37785402645888,2,6,344.88718775902,0,30.259718,-97.723198
47,e_2nd_pedernales,3,11,162.0909090909091,0,2,197,966,3.0,2,0,2.0,8,501.6956129570456,0,4,719.4687539931309,0,30.25542,-97.71665
6,e_13th_trinity_waterloo_greenway,9,11,154.0909090909091,0,3,935,0,1.0,1,0,3.0,3,177.736824912271,2,9,344.7198415566634,0,30.2741,-97.73666
30,w_6th_west,9,15,152.4,0,4,4588,0,1.0,6,14266,2.0,31,317.8537102407249,4,11,341.69276753841564,0,30.27041,-97.75046
1,e_10th_red_river,9,15,149.26666666666668,0,2,2934,309,1.0,3,0,2.0,14,231.82333484280636,4,13,323.92315294507074,0,30.27024,-97.73578
48,e_4th_chicon,3,19,141.73684210526315,0,3,214,0,2.0,8,0,2.0,5,62.37785402645888,2,5,313.47192896322616,0,30.25987,-97.72373
3,e_11th_salina,1,11,121.0909090909091,0,4,296,0,2.0,2,0,2.0,2,456.9084857290614,1,6,629.8098259620639,0,30.26638,-97.7214
61,one_texas_center,9,15,113.53333333333332,0,7,257,0,1.0,2,14550,3.0,7,238.04267638765984,3,8,324.8908091971164,0,30.257653,-97.74898
67,rosewood_angelina,1,11,104.8181818181818,0,2,132,639,2.0,5,0,2.0,9,456.9084857290614,2,6,546.4841332046008,0,30.26888,-97.72431
4,e_11th_san_jacinto,9,11,100.54545454545456,0,3,8935,0,3.0,4,0,3.0,2,208.16407469239576,7,13,291.1439896364297,0,30.27193,-97.73854
5,e_12th_san_jacinto_state_cap_visitors_garage,9,11,99.36363636363636,0,4,1688,0,2.0,2,0,2.0,3,177.736824912271,4,13,252.54660833726612,0,30.273499,-97.738097
34,e_8th_trinity,9,15,95.66666666666669,0,6,21029,309,1.0,2,0,3.0,40,253.4989432338221,6,15,328.84764260944786,0,30.26895625697814,-97.7386856328997
46,e_11th_waller,1,11,84.63636363636364,0,3,432,0,2.0,2,0,3.0,12,271.30122226316774,2,8,468.8493243679072,0,30.26899800040119,-97.72843433423913