id,name,district,trips,total_docks,trips_per_dock,ebs_station,checkouts_rank_per_day,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,total_score,is_ut
15,W 28th/Rio Grande,9,23098,7,3299.714285714286,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,1
10,W 22.5/Rio Grande,9,12942,5,2588.4,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,1
8,E 21st/Speedway @ PCL,9,43851,17,2579.470588235294,0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,24.0,1
14,W 26th/Nueces,9,32920,13,2532.3076923076924,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,24.0,1
12,W 23rd/San Gabriel,9,27560,11,2505.4545454545455,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,24.0,1
7,W 21st/Guadalupe,9,21626,11,1966.0,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,1
43,Dean Keeton/Speedway,9,33342,23,1449.6521739130435,0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,25.0,1
9,W 21st/University,9,25314,19,1332.3157894736842,0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,25.0,1
55,Guadalupe/West Mall @ University Co-op,9,18674,15,1244.9333333333334,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,1
44,Dean Keeton/Whitis,9,23152,19,1218.5263157894738,0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,23.0,1
11,W 22nd/Pearl,9,24429,23,1062.1304347826087,0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,25.0,1
63,Rainey/Cummings	,9,15205,19,800.2631578947369,0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,24.0,0
20,W 3rd/West,9,7381,11,671.0,0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,22.0,0
18,W 3rd/Nueces,9,6744,11,613.0909090909091,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
66,Riverside/South Lamar,9,11065,19,582.3684210526316,0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,25.0,0
51,E 6th/Medina,3,6294,11,572.1818181818181,0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,21.0,0
60,Nash Hernandez/East @ RBJ South,3,6263,11,569.3636363636364,0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,23.0,0
62,Plaza Saltillo	,3,7542,15,502.8,0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,21.0,0
58,Lakeshore/Lady Bird Ln.,3,5218,11,474.3636363636364,0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,18.0,0
92,W 7th/Congress (W 6th/Congress),9,7929,17,466.4117647058824,1,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,22.0,0
13,E 23rd/San Jacinto @ DKR Stadium,9,10557,23,459.0,0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,24.0,1
59,Lakeshore/Pleasant Valley,3,6726,15,448.4,0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,19.0,0
64,Rainey/Driskill,9,4889,11,444.45454545454544,0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,20.0,0
24,W 5th/Bowie,9,6551,15,436.73333333333335,0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,21.0,0
16,E 2nd/Congress,9,6400,15,426.6666666666667,0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,20.0,0
54,Electric Drive @ Pfluger Ped Bridge,9,7777,19,409.3157894736842,0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,0
29,W 16th/San Antonio ,9,4185,11,380.45454545454544,0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,17.0,0
57,Lake Austin Blvd/Deep Eddy,10,4057,11,368.8181818181818,0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,0
71,South Congress/Barton Springs,9,4002,11,363.8181818181818,0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,19.0,0
21,W 4th/Congress,9,5405,15,360.3333333333333,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
52,E 6th/Pedernales,3,3797,11,345.1818181818182,0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,20.0,0
41,Cesar Chavez/Congress,9,3695,11,335.90909090909093,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0,0
37,Barton Springs/Bouldin@ Palmer Auditorium,9,5037,15,335.8,0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,0
36,Barton Springs Pool,8,3613,11,328.45454545454544,0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,17.0,0
17,W 2nd/Lavaca @ City Hall,9,6136,19,322.94736842105266,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
87,Dean Keeton/Robert Dedman Dr,1,3476,11,316.0,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0,1
35,W 9th/Henderson,9,3415,11,310.45454545454544,0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
23,E 5th/Neches @ Downtown Station,9,4419,15,294.6,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
68,S 1st/Riverside @ Long Center,9,4345,15,289.6666666666667,0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,0
42,Dean Keeton/Park Place,9,4333,15,288.8666666666667,0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,22.0,1
2,W 11th/Congress @ The Texas Capitol,9,3114,11,283.09090909090907,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
75,Veterans/Atlanta @ MoPac Ped Bridge,9,5335,19,280.7894736842105,0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0,0
56,Hollow Creek/Barton Hills,5,3047,11,277.0,0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,16.0,0
74,South Congress/Mary,9,2989,11,271.72727272727275,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,19.0,0
76,Zilker Park,8,3939,15,262.6,0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,20.0,0
28,W 6th/Lavaca,9,1816,7,259.42857142857144,0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,21.0,0
31,W 8th/Congress,9,2804,11,254.9090909090909,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
38,Barton Springs/Kinney,9,2774,11,252.1818181818182,0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,21.0,0
25,W 5th/Campbell,9,3776,15,251.73333333333332,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,21.0,0
49,E 5th/Broadway,3,3593,15,239.53333333333333,0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,20.0,0
45,E 11th/San Marcos,1,2631,11,239.1818181818182,0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,20.0,0
73,South Congress/James,9,1556,7,222.28571428571428,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,0
39,Barton Springs/Azie Morton,9,3328,15,221.86666666666667,1,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,20.0,0
69,South Congress @ Bouldin Creek,9,3312,15,220.8,0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,20.0,0
26,E 6th/Chalmers,3,2411,11,219.1818181818182,0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,18.0,0
32,E 8th/Lavaca,9,1509,7,215.57142857142858,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,18.0,0
70,South Congress/Academy,9,2087,11,189.72727272727272,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,0
33,E 8th/Red River,9,2056,11,186.9090909090909,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
72,South Congress/Elizabeth,9,1965,11,178.63636363636363,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,19.0,0
53,E 6th/Chicon,3,1888,11,171.63636363636363,0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,18.0,0
47,E 2nd/Pedernales,3,1783,11,162.0909090909091,0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,19.0,0
6,E 13th/Trinity @ Waterloo Greenway,9,1695,11,154.0909090909091,0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,21.0,0
30,W 6th/West,9,2286,15,152.4,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
1,E 10th/Red River,9,2239,15,149.26666666666668,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,0
48,E 4th/Chicon,3,2693,19,141.73684210526315,0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,18.0,0
3,E 11th/Salina,1,1332,11,121.0909090909091,0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,17.0,0
61,One Texas Center,9,1703,15,113.53333333333333,0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,17.0,0
67,Rosewood/Angelina,1,1153,11,104.81818181818181,0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,0
4,E 11th/San Jacinto,9,1106,11,100.54545454545455,0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,21.0,0
5,E 12th/San Jacinto @ State Cap Visitors Garage,9,1093,11,99.36363636363636,0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,18.0,0
34,E 8th/Trinity,9,1435,15,95.66666666666667,0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,19.0,0
46,E 11th/Waller,1,931,11,84.63636363636364,0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,20.0,0
